id,name_x,name_y
6446604,Gina_L_Maxwell,
6587,Tad_Williams,
113561,Osamu_Dazai,
6574132,R_K_Lilley,Rebecca_K_Lilley
71688,Nalini_Singh,
990,Aeschylus,
150484,Barry_Lyga,
276660,Joe_Abercrombie,
4849669,Fisher_Amelie,
4167378,Samantha_Young,
2526,Libba_Bray,
7136914,Ann_Patchett,
566,Paulo_Coelho,
514824,Julia_Hoban,
9464,Haven_Kimmel,
12915,Jane_Green,
7742,Keri_Arthur,
52989,Julie_Anne_Peters,
6104,Marian_Keyes,
978484,Lisa_Genova,
6452601,Tracy_Brogan,
6983012,Belle_Aurora,
6994378,Mia_Sheridan,
22414,Richard_Peck,
375143,Larissa_Ione,
2995577,Helen_Simonson,
9559,Sue_Grafton,
4430,Sherrilyn_Kenyon,
132350,Joy_Adamson,
2740668,Dan_Wells,
7308,Susan_Cooper,
1023510,R_A_Salvatore,Robert_A_Salvatore
19954,Christopher_Pike,
54493,Kristin_Hannah,
437652,Chris_Pavone,
10017,Sigmund_Freud,
6546441,Katie_Ashley,
316,Alice_Sebold,
2875124,Heather_Gudenkauf,
38066,Karen_Chance,
5989,Jane_Yolen,
2987,Sarah_Dessen,
16215,Ruth_Stiles_Gannett,
5773,Tim_Burton,
291620,Steven_Galloway,
4090011,S_C_Gwynne,Samuel_C_Gwynne
33467,Jonathan_Stroud,
2192,Aristotle,
7139136,Penelope_Douglas,
8475681,Erika_Swyler,
65913,Wallace_D_Wattles,
2533,Graham_Greene,
14972725,Steven_Rowley,
285217,Johann_Wolfgang_von_Goethe,
6548349,Natasha_Preston,
14473,James_M_Cain,
72887,Camilla_L_ckberg,
9355,Dean_Koontz,
14989,Vince_Flynn,
34863,Brynne_Stephens,
27,Zilpha_Keatley_Snyder,
47499,Paullina_Simons,
879,Plato,
248844,Richard_Paige,
62263,Kathleen_Tessaro,
11164,Theodore_Taylor,
3490,Lauren_Weisberger,
22694,Flannery_O_Connor,
9432,Joanne_Harris,
221253,Cherie_Priest,
4906445,H_W_Janson,Horst_W_Janson
23821,Eleanor_Estes,
23511,Rita_Mae_Brown,
6001,Carolyn_Keene,
46742,Brother_Andrew,
31232,Steven_Erikson,
3365457,Ann_Leckie,
27847,Lisa_Kleypas,
16807,Bryan_Lee_O_Malley,
262262,Felix_Salten,
345630,Carrie_Jones,
22504,Joanna_Cole,
1152263,Michelle_Leighton,
7801879,Charlie_N_Holmberg,
481146,John_Gardner,
7625163,Tim_LaHaye,
12736,Mark_Millar,
16104262,Lew_Wallace,
5414,Patricia_Reilly_Giff,
373395,Dawn_J_Ranck,
201369,Robert_Masello,
3390621,Leila_Sales,
35345,Michael_Moss,
4864634,C_J_Redwine,Christina_J_not_actually_christina_but_female_Redwine
15417864,Emily_R_King,
9629,Terry_Brooks,
6581091,Kelly_Elliott,
869,Margaret_Weis,
119121,Conn_Iggulden,
21748,Ilona_Andrews,
66186,Harry_Allard,
3489,Rebecca_Wells,
4851199,Tijan,
437669,A_N_Roquelaure,Anne_N_Roquelaure
8588,Raymond_E_Feist,
88506,Joe_Hill,
4000,Pat_Barker,
2238,Isabel_Allende,
13807841,Max_Porter,
4649,Plum_Sykes,
3078,Atul_Gawande,
6785,Giles_Andreae,
4951964,Shelly_Crane,
27498,Erin_Hunter,
13078,Kingsley_Amis,
3162,Doreen_Cronin,
21387,Mary_Kay_Andrews,
1260,Michel_Foucault,
61561,Pam_Adams,
74046,D_J_MacHale,Donald_J_MacHale
3379564,Alice_Clayton,
29085,Daniel_Silva,
7363,Raymond_Carver,
3251696,Kelly_McGonigal,
6633,Sigrid_Nunez,
4601855,Jessica_Sorensen,
66631,Marisa_de_los_Santos,
3371,Dave_Eggers,
7010931,J_G_Ballard,James_G_Ballard
410653,Astrid_Lindgren,
5293,Robert_Ludlum,
17272,Kohta_Hirano,
2059918,Michael_Rosen,
24689,Harlan_Coben,
7773619,Shin_Kyung_sook,
179712,Chris_d_Lacey,
3509,Chris_Bohjalian,
1858,Kim_Stanley_Robinson,
303859,Justine_Korman_Fontes,
33274,Mo_Willems,
27621,Carolyn_Mackler,
34893,Amy_Stewart,
26372,Kathy_Reichs,
17054,Kim_Harrison,
7844,Richard_Russo,
3393956,Nicky_Charles,
432,Ayn_Rand,
2130,Gordon_Korman,
80808,Helen_Oyeyemi,
73977,Lisa_Renee_Jones,
963811,A_J_Jacobs,Arnold_J_Jacobs
19879,Stephen_Crane,
2755160,Kimberly_Derting,
3486415,Amanda_Hocking,
220718,Diane_Muldrow,
1562974,Katie_Alender,
10547,E_E_Cummings,Edward_E_Cummings
117884,Eric_Shanower,
6888697,J_B_Salsbury,Jessica_B_not_actually_jessica_Salsbury
4519463,Kyousuke_Motomi,
31122,Rick_Bragg,
3532,Maeve_Binchy,
6555784,Jim_Gaffigan,
183005,Jordan_Sonnenblick,
28558,Verna_Aardema,
647438,Andrea_Hirata,
466,Jon_Stewart,
11785,Stormie_Omartian,
13275,Charles_Bukowski,
19439,Stephen_Briggs,
605364,Al_Dempster,
203238,Jennifer_Echols,
7025,Gregory_Maguire,
2965489,Jennifer_Probst,
11094,Al_Perkins,
3525,Edwidge_Danticat,
4387,John_Saul,
2921547,Heidi_W_Durrow,
51484,Paul_Zindel,
4134859,Jessica_Shirvington,
12425,Robert_Kirkman,
6434584,Mhairi_McFarlane,
6089757,Sandi_Lynn,
10366,Clive_Barker,
6556689,Christina_Lauren,
4500546,Foundation_for_Inner_Peace,
33918,China_Mi_ville,
311098,Katsura_Hoshino,
25619,Henryk_Sienkiewicz,
50873,L_J_Smith,Lisa_J_Smith
